year,month,nino34_anom,oni
1970,1,0.28,0.2866666666666664
1970,2,0.2,0.11333333333333305
1970,3,-0.14,-0.006666666666666964
1970,4,-0.08,-0.17333333333333364
1970,5,-0.3,-0.3566666666666669
1970,6,-0.69,-0.6900000000000003
1970,7,-1.08,-1.0100000000000002
1970,8,-1.26,-1.136666666666667
1970,9,-1.07,-1.1500000000000004
1970,10,-1.12,-1.1066666666666671
1970,11,-1.13,-1.1933333333333336
1970,12,-1.33,-1.3966666666666667
1971,1,-1.73,-1.5433333333333337
1971,2,-1.57,-1.5533333333333337
1971,3,-1.36,-1.3700000000000003
1971,4,-1.18,-1.1733333333333336
1971,5,-0.98,-1.096666666666667
1971,6,-1.13,-1.0933333333333335
1971,7,-1.17,-1.1333333333333335
1971,8,-1.1,-1.09
1971,9,-1.0,-1.1133333333333335
1971,10,-1.24,-1.1300000000000001
1971,11,-1.15,-1.206666666666667
1971,12,-1.23,-1.1000000000000003
1972,1,-0.92,-0.8666666666666668
1972,2,-0.45,-0.5200000000000002
1972,3,-0.19,-0.19000000000000025
1972,4,0.07,0.08666666666666645
1972,5,0.38,0.29999999999999977
1972,6,0.45,0.5599999999999997
1972,7,0.85,0.7966666666666665
1972,8,1.09,1.0566666666666664
1972,9,1.23,1.2866666666666664
1972,10,1.54,1.5566666666666666
1972,11,1.9,1.843333333333333
1972,12,2.09,1.9299999999999997
1973,1,1.8,1.6966666666666665
1973,2,1.2,1.0899999999999999
1973,3,0.27,0.2966666666666665
1973,4,-0.58,-0.42666666666666675
1973,5,-0.97,-0.9100000000000001
1973,6,-1.18,-1.2300000000000002
1973,7,-1.54,-1.4500000000000002
1973,8,-1.63,-1.61
1973,9,-1.66,-1.7566666666666668
1973,10,-1.98,-2.0033333333333334
1973,11,-2.37,-2.2033333333333336
1973,12,-2.26,-2.24
1974,1,-2.09,-2.0033333333333334
1974,2,-1.66,-1.7333333333333336
1974,3,-1.45,-1.4900000000000002
1974,4,-1.36,-1.366666666666667
1974,5,-1.29,-1.2833333333333337
1974,6,-1.2,-1.1300000000000003
1974,7,-0.9,-0.8733333333333335
1974,8,-0.52,-0.686666666666667
1974,9,-0.64,-0.7000000000000003
1974,10,-0.94,-0.8900000000000002
1974,11,-1.09,-1.0000000000000002
1974,12,-0.97,-0.836666666666667
1975,1,-0.45,-0.7000000000000003
1975,2,-0.68,-0.7400000000000003
1975,3,-1.09,-0.9100000000000005
1975,4,-0.96,-1.0600000000000003
1975,5,-1.13,-1.196666666666667
1975,6,-1.5,-1.3400000000000005
1975,7,-1.39,-1.4700000000000004
1975,8,-1.52,-1.5233333333333337
1975,9,-1.66,-1.6700000000000002
1975,10,-1.83,-1.7166666666666668
1975,11,-1.66,-1.8066666666666669
1975,12,-1.93,-1.866666666666667
1976,1,-2.01,-1.7333333333333336
1976,2,-1.26,-1.3633333333333335
1976,3,-0.82,-1.0033333333333339
1976,4,-0.93,-0.8300000000000004
1976,5,-0.74,-0.6833333333333339
1976,6,-0.38,-0.42666666666666714
1976,7,-0.16,-0.14000000000000046
1976,8,0.12,0.08666666666666623
1976,9,0.3,0.3899999999999995
1976,10,0.75,0.5866666666666661
1976,11,0.71,0.6499999999999996
1976,12,0.49,0.6599999999999996
1977,1,0.78,0.5466666666666663
1977,2,0.37,0.44666666666666616
1977,3,0.19,0.059999999999999554
1977,4,-0.38,-0.13333333333333378
1977,5,-0.21,-0.1933333333333338
1977,6,0.01,-0.03666666666666711
1977,7,0.09,0.029999999999999555
1977,8,-0.01,0.15999999999999956
1977,9,0.4,0.3399999999999996
1977,10,0.63,0.5033333333333329
1977,11,0.48,0.6033333333333328
1977,12,0.7,0.5999999999999995
1978,1,0.62,0.5233333333333329
1978,2,0.25,0.22333333333333286
1978,3,-0.2,-0.21666666666666712
1978,4,-0.7,-0.5466666666666672
1978,5,-0.74,-0.7166666666666671
1978,6,-0.71,-0.6666666666666671
1978,7,-0.55,-0.6833333333333339
1978,8,-0.79,-0.6833333333333339
1978,9,-0.71,-0.6533333333333339
1978,10,-0.46,-0.5166666666666672
1978,11,-0.38,-0.3000000000000005
1978,12,-0.06,-0.19000000000000047
1979,1,-0.13,-0.13666666666666716
1979,2,-0.22,-0.12333333333333381
1979,3,-0.02,-0.07333333333333382
1979,4,0.02,-0.08333333333333381
1979,5,-0.25,-0.1733333333333338
1979,6,-0.29,-0.3366666666666671
1979,7,-0.47,-0.2866666666666671
1979,8,-0.1,-0.09666666666666712
1979,9,0.28,0.09666666666666618
1979,10,0.11,0.2266666666666662
1979,11,0.29,0.3066666666666662
1979,12,0.52,0.44999999999999957
1980,1,0.54,0.42666666666666625
1980,2,0.22,0.26333333333333286
1980,3,0.03,0.05999999999999952
1980,4,-0.07,0.01333333333333285
1980,5,0.08,0.07333333333333285
1980,6,0.21,0.07666666666666619
1980,7,-0.06,-0.07666666666666715
1980,8,-0.38,-0.24000000000000052
1980,9,-0.28,-0.30666666666666714
1980,10,-0.26,-0.21333333333333385
1980,11,-0.1,-0.10333333333333382
1980,12,0.05,-0.13666666666666713
1981,1,-0.36,-0.31666666666666715
1981,2,-0.64,-0.5466666666666672
1981,3,-0.64,-0.6033333333333338
1981,4,-0.53,-0.5800000000000004
1981,5,-0.57,-0.5200000000000005
1981,6,-0.46,-0.5566666666666672
1981,7,-0.64,-0.5433333333333338
1981,8,-0.53,-0.4533333333333338
1981,9,-0.19,-0.3400000000000005
1981,10,-0.3,-0.3000000000000005
1981,11,-0.41,-0.30333333333333384
1981,12,-0.2,-0.1600000000000005
1982,1,0.13,-0.08000000000000053
1982,2,-0.17,0.029999999999999482
1982,3,0.13,0.05666666666666614
1982,4,0.21,0.2633333333333328
1982,5,0.45,0.3966666666666662
1982,6,0.53,0.4499999999999995
1982,7,0.37,0.5433333333333329
1982,8,0.73,0.8633333333333328
1982,9,1.49,1.4033333333333327
1982,10,1.99,1.7999999999999996
1982,11,1.92,2.0366666666666666
1982,12,2.2,2.1566666666666663
1983,1,2.35,2.1633333333333327
1983,2,1.94,1.8899999999999995
1983,3,1.38,1.423333333333333
1983,4,0.95,1.0766666666666662
1983,5,0.9,0.7966666666666663
1983,6,0.54,0.4433333333333329
1983,7,-0.11,0.0533333333333329
1983,8,-0.27,-0.30000000000000043
1983,9,-0.52,-0.6500000000000005
1983,10,-1.16,-0.9900000000000005
1983,11,-1.29,-1.1600000000000004
1983,12,-1.03,-0.996666666666667
1984,1,-0.67,-0.6300000000000004
1984,2,-0.19,-0.46000000000000046
1984,3,-0.52,-0.4633333333333338
1984,4,-0.68,-0.6433333333333339
1984,5,-0.73,-0.7700000000000005
1984,6,-0.9,-0.7100000000000004
1984,7,-0.5,-0.5466666666666672
1984,8,-0.24,-0.3600000000000005
1984,9,-0.34,-0.4166666666666672
1984,10,-0.67,-0.7333333333333338
1984,11,-1.19,-1.066666666666667
1984,12,-1.34,-1.2300000000000004
1985,1,-1.16,-1.073333333333334
1985,2,-0.72,-0.8900000000000006
1985,3,-0.79,-0.8966666666666671
1985,4,-1.18,-1.0000000000000007
1985,5,-1.03,-1.0400000000000005
1985,6,-0.91,-0.8933333333333339
1985,7,-0.74,-0.7366666666666672
1985,8,-0.56,-0.6666666666666671
1985,9,-0.7,-0.5833333333333339
1985,10,-0.49,-0.5200000000000006
1985,11,-0.37,-0.42333333333333384
1985,12,-0.41,-0.4800000000000005
1986,1,-0.66,-0.5933333333333338
1986,2,-0.71,-0.5966666666666671
1986,3,-0.42,-0.4866666666666672
1986,4,-0.33,-0.4266666666666672
1986,5,-0.53,-0.39000000000000057
1986,6,-0.31,-0.3166666666666672
1986,7,-0.11,-0.033333333333333846
1986,8,0.32,0.24666666666666615
1986,9,0.53,0.5533333333333328
1986,10,0.81,0.7833333333333329
1986,11,1.01,0.9799999999999995
1986,12,1.12,1.0899999999999996
1987,1,1.14,1.1299999999999997
1987,2,1.13,1.0833333333333328
1987,3,0.98,0.8966666666666661
1987,4,0.58,0.7266666666666661
1987,5,0.62,0.7066666666666661
1987,6,0.92,0.9433333333333328
1987,7,1.29,1.2599999999999996
1987,8,1.57,1.5033333333333327
1987,9,1.65,1.4866666666666661
1987,10,1.24,1.3199999999999994
1987,11,1.07,1.0833333333333328
1987,12,0.94,0.9699999999999994
1988,1,0.9,0.7066666666666661
1988,2,0.28,0.4266666666666661
1988,3,0.1,-0.020000000000000573
1988,4,-0.44,-0.5300000000000006
1988,5,-1.25,-1.1433333333333338
1988,6,-1.74,-1.5766666666666673
1988,7,-1.74,-1.5566666666666673
1988,8,-1.19,-1.3100000000000005
1988,9,-1.0,-1.363333333333334
1988,10,-1.9,-1.6500000000000004
1988,11,-2.05,-1.9700000000000006
1988,12,-1.96,-1.9933333333333338
1989,1,-1.97,-1.8000000000000007
1989,2,-1.47,-1.5500000000000007
1989,3,-1.21,-1.253333333333334
1989,4,-1.08,-1.0566666666666673
1989,5,-0.88,-0.8500000000000005
1989,6,-0.59,-0.6800000000000006
1989,7,-0.57,-0.5633333333333339
1989,8,-0.53,-0.46666666666666723
1989,9,-0.3,-0.4100000000000006
1989,10,-0.4,-0.3833333333333339
1989,11,-0.45,-0.32666666666666727
1989,12,-0.13,-0.1900000000000006
1990,1,0.01,0.029999999999999406
1990,2,0.21,0.08666666666666607
1990,3,0.04,0.10999999999999939
1990,4,0.08,0.06666666666666608
1990,5,0.08,0.02666666666666607
1990,6,-0.08,0.029999999999999406
1990,7,0.09,0.07666666666666606
1990,8,0.22,0.17666666666666608
1990,9,0.22,0.2166666666666661
1990,10,0.21,0.17666666666666608
1990,11,0.1,0.21999999999999942
1990,12,0.35,0.31333333333333274
1991,1,0.49,0.3866666666666661
1991,2,0.32,0.2799999999999994
1991,3,0.03,0.1799999999999994
1991,4,0.19,0.15999999999999942
1991,5,0.26,0.32333333333333275
1991,6,0.52,0.5133333333333328
1991,7,0.76,0.6533333333333328
1991,8,0.68,0.6199999999999994
1991,9,0.42,0.6533333333333328
1991,10,0.86,0.8266666666666659
1991,11,1.2,1.2499999999999993
1991,12,1.69,1.5766666666666662
1992,1,1.84,1.7699999999999994
1992,2,1.78,1.666666666666666
1992,3,1.38,1.4533333333333325
1992,4,1.2,1.2066666666666659
1992,5,1.04,0.9399999999999995
1992,6,0.58,0.6133333333333327
1992,7,0.22,0.2833333333333327
1992,8,0.05,0.06999999999999941
1992,9,-0.06,-0.1033333333333339
1992,10,-0.3,-0.21333333333333393
1992,11,-0.28,-0.24333333333333396
1992,12,-0.15,-0.09666666666666728
1993,1,0.14,0.13333333333333275
1993,2,0.41,0.31333333333333274
1993,3,0.39,0.46333333333333276
1993,4,0.59,0.5866666666666661
1993,5,0.78,0.5733333333333328
1993,6,0.35,0.45333333333333276
1993,7,0.23,0.23666666666666605
1993,8,0.13,0.23666666666666605
1993,9,0.35,0.1799999999999994
1993,10,0.06,0.13666666666666608
1993,11,0.0,0.07333333333333274
1993,12,0.16,0.08666666666666607
1994,1,0.1,0.10666666666666608
1994,2,0.06,0.08999999999999941
1994,3,0.11,0.14333333333333276
1994,4,0.26,0.2266666666666661
1994,5,0.31,0.29666666666666613
1994,6,0.32,0.2899999999999994
1994,7,0.24,0.3633333333333328
1994,8,0.53,0.4166666666666661
1994,9,0.48,0.5866666666666661
1994,10,0.75,0.7799999999999994
1994,11,1.11,1.0366666666666662
1994,12,1.25,1.126666666666666
1995,1,1.02,0.9999999999999994
1995,2,0.73,0.736666666666666
1995,3,0.46,0.4899999999999994
1995,4,0.28,0.2099999999999994
1995,5,-0.11,0.009999999999999417
1995,6,-0.14,-0.1533333333333339
1995,7,-0.21,-0.32666666666666727
1995,8,-0.63,-0.5600000000000006
1995,9,-0.84,-0.783333333333334
1995,10,-0.88,-0.9400000000000007
1995,11,-1.1,-0.9766666666666673
1995,12,-0.95,-0.9700000000000006
1996,1,-0.86,-0.8900000000000006
1996,2,-0.86,-0.7766666666666673
1996,3,-0.61,-0.6466666666666674
1996,4,-0.47,-0.4866666666666673
1996,5,-0.38,-0.43000000000000066
1996,6,-0.44,-0.42000000000000065
1996,7,-0.44,-0.36666666666666736
1996,8,-0.22,-0.3700000000000007
1996,9,-0.45,-0.3700000000000007
1996,10,-0.44,-0.433333333333334
1996,11,-0.41,-0.4966666666666673
1996,12,-0.64,-0.5266666666666674
1997,1,-0.53,-0.5133333333333341
1997,2,-0.37,-0.383333333333334
1997,3,-0.25,-0.153333333333334
1997,4,0.16,0.18333333333333268
1997,5,0.64,0.6299999999999993
1997,6,1.09,1.096666666666666
1997,7,1.56,1.5133333333333328
1997,8,1.89,1.8599999999999994
1997,9,2.13,2.1266666666666656
1997,10,2.36,2.2999999999999994
1997,11,2.41,2.353333333333333
1997,12,2.29,2.3599999999999994
1998,1,2.38,2.233333333333333
1998,2,2.03,1.916666666666666
1998,3,1.34,1.3833333333333329
1998,4,0.78,0.8966666666666661
1998,5,0.57,0.3199999999999994
1998,6,-0.39,-0.27000000000000063
1998,7,-0.99,-0.8866666666666673
1998,8,-1.28,-1.1766666666666674
1998,9,-1.26,-1.333333333333334
1998,10,-1.46,-1.3933333333333338
1998,11,-1.46,-1.536666666666667
1998,12,-1.69,-1.613333333333334
1999,1,-1.69,-1.5666666666666673
1999,2,-1.32,-1.3200000000000005
1999,3,-0.95,-1.1266666666666671
1999,4,-1.11,-1.0700000000000005
1999,5,-1.15,-1.1500000000000006
1999,6,-1.19,-1.1700000000000006
1999,7,-1.17,-1.193333333333334
1999,8,-1.22,-1.1600000000000004
1999,9,-1.09,-1.1800000000000006
1999,10,-1.23,-1.3000000000000007
1999,11,-1.58,-1.5166666666666675
1999,12,-1.74,-1.6966666666666672
2000,1,-1.77,-1.6866666666666672
2000,2,-1.55,-1.4333333333333338
2000,3,-0.98,-1.133333333333334
2000,4,-0.87,-0.9033333333333339
2000,5,-0.86,-0.8400000000000006
2000,6,-0.79,-0.7733333333333339
2000,7,-0.67,-0.6500000000000007
2000,8,-0.49,-0.5600000000000006
2000,9,-0.52,-0.5700000000000006
2000,10,-0.7,-0.6700000000000005
2000,11,-0.79,-0.803333333333334
2000,12,-0.92,-0.813333333333334
2001,1,-0.73,-0.7600000000000007
2001,2,-0.63,-0.6133333333333338
2001,3,-0.48,-0.533333333333334
2001,4,-0.49,-0.43666666666666726
2001,5,-0.34,-0.3400000000000006
2001,6,-0.19,-0.1900000000000006
2001,7,-0.04,-0.09333333333333393
2001,8,-0.05,-0.09666666666666728
2001,9,-0.2,-0.1300000000000006
2001,10,-0.14,-0.23666666666666725
2001,11,-0.37,-0.30666666666666725
2001,12,-0.41,-0.31000000000000055
2002,1,-0.15,-0.2000000000000006
2002,2,-0.04,-0.06000000000000059
2002,3,0.01,-0.003333333333333926
2002,4,0.02,0.11333333333333273
2002,5,0.31,0.34999999999999937
2002,6,0.72,0.5899999999999994
2002,7,0.74,0.7766666666666661
2002,8,0.87,0.8999999999999995
2002,9,1.09,1.0699999999999994
2002,10,1.25,1.2699999999999994
2002,11,1.47,1.3633333333333326
2002,12,1.37,1.146666666666666
2003,1,0.6,0.8699999999999996
2003,2,0.64,0.5333333333333328
2003,3,0.36,0.28666666666666607
2003,4,-0.14,-0.1300000000000006
2003,5,-0.61,-0.3466666666666673
2003,6,-0.29,-0.23000000000000057
2003,7,0.21,0.05999999999999942
2003,8,0.26,0.24666666666666606
2003,9,0.27,0.3166666666666661
2003,10,0.42,0.3399999999999994
2003,11,0.33,0.3933333333333328
2003,12,0.43,0.3433333333333328
2004,1,0.27,0.30999999999999944
2004,2,0.23,0.2066666666666661
2004,3,0.12,0.13999999999999943
2004,4,0.07,0.08333333333333276
2004,5,0.06,0.0866666666666661
2004,6,0.13,0.2266666666666661
2004,7,0.49,0.45999999999999946
2004,8,0.76,0.6866666666666661
2004,9,0.81,0.766666666666666
2004,10,0.73,0.7333333333333328
2004,11,0.66,0.7099999999999994
2004,12,0.74,0.6866666666666661
2005,1,0.66,0.586666666666666
2005,2,0.36,0.4899999999999995
2005,3,0.45,0.3566666666666661
2005,4,0.26,0.33666666666666606
2005,5,0.3,0.19999999999999943
2005,6,0.04,0.03666666666666607
2005,7,-0.23,-0.08000000000000058
2005,8,-0.05,-0.10666666666666726
2005,9,-0.04,-0.05000000000000059
2005,10,-0.06,-0.23000000000000057
2005,11,-0.59,-0.5233333333333339
2005,12,-0.92,-0.8066666666666672
2006,1,-0.91,-0.8333333333333339
2006,2,-0.67,-0.763333333333334
2006,3,-0.71,-0.5666666666666672
2006,4,-0.32,-0.3733333333333339
2006,5,-0.09,-0.13666666666666727
2006,6,0.0,-0.026666666666667258
2006,7,0.01,0.10666666666666608
2006,8,0.31,0.30666666666666603
2006,9,0.6,0.5366666666666661
2006,10,0.7,0.7633333333333328
2006,11,0.99,0.9433333333333328
2006,12,1.14,0.9433333333333326
2007,1,0.7,0.656666666666666
2007,2,0.13,0.21666666666666604
2007,3,-0.18,-0.12333333333333392
2007,4,-0.32,-0.3233333333333339
2007,5,-0.47,-0.3800000000000006
2007,6,-0.35,-0.4700000000000006
2007,7,-0.59,-0.5533333333333339
2007,8,-0.72,-0.8066666666666672
2007,9,-1.11,-1.073333333333334
2007,10,-1.39,-1.3466666666666673
2007,11,-1.54,-1.5033333333333339
2007,12,-1.58,-1.6000000000000008
2008,1,-1.68,-1.6433333333333338
2008,2,-1.67,-1.5200000000000007
2008,3,-1.21,-1.2900000000000007
2008,4,-0.99,-1.0133333333333339
2008,5,-0.84,-0.8366666666666672
2008,6,-0.68,-0.6066666666666672
2008,7,-0.3,-0.3700000000000006
2008,8,-0.13,-0.22666666666666724
2008,9,-0.25,-0.24333333333333393
2008,10,-0.35,-0.35333333333333394
2008,11,-0.46,-0.5566666666666672
2008,12,-0.86,-0.7366666666666672
2009,1,-0.89,-0.8466666666666672
2009,2,-0.79,-0.7900000000000006
